Command,Maker,Computer,Structure,Media,density,head,cyl,sect,ssize,stretch
ddrescue-x1,Sharp,X1,5.25,2D,dd,2,40,16,256,-
ddrescue-x1-hd,,,5.25,2HD,hd,2,77,16,256,-
ddrescue-mz,,MZ-2500,3.5,2DD,dd,2,80,16,256,-
ddrescue-68,,X68000,5.25,2HD,hd,2,77,8,1024,-
ddrescue-fm,Fujitsu,FM-8/7,5.25,2D,dd,2,40,16,256,1
ddrescue-fm,,FM-77,3.5,2D,dd,2,40,16,256,1
ddrescue-fm-dd,,FM77AV,3.5,2DD,dd,2,80,16,256,-
ddrescue-towns,,TOWNS,3.5,2HD,hd,2,77,8,1024,-
ddrescue-66,NEC,6601,3.5,1D,dd,1,35,16,256,1
ddrescue-88,,8801,5.25,2D,dd,2,40,16,256,-
ddrescue-88-hd,,,5.25,2HD,hd,2,80,26,256,-
ddrescue-98,,9801,5.25,2HD,hd,2,77,8,1024,-
ddrescue-98,,,3.5,2HD,hd,2,77,8,1024,-
ddrescue-msx,Any,MSX,3.5,2DD,dd,2,80,9,512,-
ddrescue-msx-1dd,,,3.5,1DD,dd,1,80,9,512,-
ddrescue-smc,Sony,SMC-777,3.5,1DD,dd,1,70,16,256,-
ddrescue-pc-525,Any,PC/AT,5.25,2HD,hd,2,80,15,512,-
ddrescue-pc-35,,,3.5,2HD,hd,2,80,18,512,-
